index site,latitude,longitude,pays,couleur,capacite offshore,scores,capacites
429,40.0,-9.0,Portugal,#FF00FF,Non,0.0010307722972409702,1072.521495356328
430,40.0,-8.0,Portugal,#FF00FF,Non,0.0010723345967304557,1115.7671857170667
431,40.0,-7.0,Portugal,#FF00FF,Non,0.00115131159295192,1197.9429740196058
432,39.0,-9.0,Portugal,#FF00FF,Non,0.0010854736054449075,1129.4383615059805
433,39.0,-8.0,Portugal,#FF00FF,Non,0.0012142693760787992,1263.4507257163655
434,38.0,-9.0,Portugal,#FF00FF,Non,0.001208561280970674,1257.511436585886
435,38.0,-8.0,Portugal,#FF00FF,Non,0.0013612312266653155,1416.3649475801842
436,37.0,-9.0,Portugal,#FF00FF,Non,0.0013451715679189884,1399.6548271591882
437,37.0,-8.0,Portugal,#FF00FF,Non,0.0016311207222968027,1697.1857323552897
438,62.0,-7.0,Royaume-Uni,#419c03,Non,0.0012939965829190736,284.7115563735986
439,61.0,-1.0,Royaume-Uni,#419c03,Non,0.00195209452865801,429.5095356348148
440,60.0,-2.0,Royaume-Uni,#419c03,Non,0.003626054505041983,797.8225253865038
441,60.0,-1.0,Royaume-Uni,#419c03,Non,0.0023923447959299893,526.3755864756438
442,59.0,-6.0,Royaume-Uni,#419c03,Non,0.0035621538960189103,783.762795949554
445,59.0,-3.0,Royaume-Uni,#419c03,Non,0.003562153896018912,783.7627959495543
448,58.0,-7.0,Royaume-Uni,#419c03,Non,0.0035017924653350982,770.4817741124198
449,58.0,-6.0,Royaume-Uni,#419c03,Non,0.0023103593925062334,508.33675073464195
450,58.0,-5.0,Royaume-Uni,#419c03,Non,0.002392290138230777,526.3635604171395
451,58.0,-4.0,Royaume-Uni,#419c03,Non,0.0035017924653350982,770.4817741124198
455,57.0,-6.0,Royaume-Uni,#419c03,Non,0.003444696133129629,757.9191554625529
456,57.0,-5.0,Royaume-Uni,#419c03,Non,0.0022726884212864143,500.0481965083975
457,57.0,-4.0,Royaume-Uni,#419c03,Non,0.0022170524588941334,487.80689567952203
458,57.0,-3.0,Royaume-Uni,#419c03,Non,0.002392290138230777,526.3635604171395
459,57.0,-2.0,Royaume-Uni,#419c03,Non,0.003444696133129629,757.9191554625529
462,56.0,-5.0,Royaume-Uni,#419c03,Non,0.0033906201010909676,746.0210782593624
463,56.0,-4.0,Royaume-Uni,#419c03,Non,0.0022370101509090706,492.1980862206744
464,56.0,-3.0,Royaume-Uni,#419c03,Non,0.0022370101509090706,492.1980862206744
465,56.0,-2.0,Royaume-Uni,#419c03,Non,0.0033906201010909685,746.0210782593625
467,55.0,-7.0,Royaume-Uni,#419c03,Non,0.003339344988625128,734.7392732947403
469,55.0,-5.0,Royaume-Uni,#419c03,Non,0.003339344988625127,734.73927329474
470,55.0,-4.0,Royaume-Uni,#419c03,Non,0.002392290138230777,526.3635604171395
471,55.0,-3.0,Royaume-Uni,#419c03,Non,0.0022031798413376566,484.7545734496053
472,55.0,-2.0,Royaume-Uni,#419c03,Non,0.003339344988625128,734.7392732947403
478,54.0,-6.0,Royaume-Uni,#419c03,Non,0.003290673573459062,724.0303467444272
481,54.0,-3.0,Royaume-Uni,#419c03,Non,0.0032906735734590637,724.0303467444277
482,54.0,-2.0,Royaume-Uni,#419c03,Non,0.0021926014301745537,482.4270588750206
483,54.0,-1.0,Royaume-Uni,#419c03,Non,0.002392290138230777,526.3635604171395
484,54.0,0.0,Royaume-Uni,#419c03,Non,0.0032906735734590633,724.0303467444276
489,53.0,-4.0,Royaume-Uni,#419c03,Non,0.003244428028282964,713.8551721603258
490,53.0,-3.0,Royaume-Uni,#419c03,Non,0.0021845012345583317,480.6448135961168
491,53.0,-2.0,Royaume-Uni,#419c03,Non,0.0018362949244265703,404.0307314529634
492,53.0,-1.0,Royaume-Uni,#419c03,Non,0.0018362949244265703,404.0307314529634
493,53.0,0.0,Royaume-Uni,#419c03,Non,0.0021845012345583317,480.6448135961168
494,53.0,1.0,Royaume-Uni,#419c03,Non,0.0032444280282829634,713.8551721603257
497,52.0,-4.0,Royaume-Uni,#419c03,Non,0.003200447566831539,704.1783725496058
498,52.0,-3.0,Royaume-Uni,#419c03,Non,0.002111537898656008,464.59105797019527
499,52.0,-2.0,Royaume-Uni,#419c03,Non,0.0016555961037753263,364.27247927394126
500,52.0,-1.0,Royaume-Uni,#419c03,Non,0.0016555961037753263,364.27247927394126
501,52.0,0.0,Royaume-Uni,#419c03,Non,0.0021115378986560074,464.59105797019515
502,52.0,1.0,Royaume-Uni,#419c03,Non,0.0032004475668315387,704.1783725496057
505,51.0,-4.0,Royaume-Uni,#419c03,Non,0.0031585864297689003,694.9678772190954
506,51.0,-3.0,Royaume-Uni,#419c03,Non,0.002392290138230777,526.3635604171395
507,51.0,-2.0,Royaume-Uni,#419c03,Non,0.002392290138230777,526.3635604171395
508,51.0,-1.0,Royaume-Uni,#419c03,Non,0.002392290138230777,526.3635604171395
509,51.0,0.0,Royaume-Uni,#419c03,Non,0.002392290138230777,526.3635604171395
510,51.0,1.0,Royaume-Uni,#419c03,Non,0.002168440569081194,477.1110661931087
528,68.0,18.0,Suède,#758da3,Non,0.002102879554652468,760.7118681653249
529,68.0,19.0,Suède,#758da3,Non,0.001886302993962529,682.3657927951205
530,68.0,20.0,Suède,#758da3,Non,0.0016960246880168433,613.5330509164743
531,68.0,21.0,Suède,#758da3,Non,0.0015386233419743284,556.5934740706066
532,68.0,22.0,Suède,#758da3,Non,0.001462827069183245,529.1743457865795
533,68.0,23.0,Suède,#758da3,Non,0.0013941021423098249,504.31326071124107
534,67.0,17.0,Suède,#758da3,Non,0.0018592078224168777,672.5641764737527
535,67.0,18.0,Suède,#758da3,Non,0.0016658725485587619,602.6255834461706
536,67.0,19.0,Suède,#758da3,Non,0.0015078875995262477,545.4748895537715
537,67.0,20.0,Suède,#758da3,Non,0.0015075833762926345,545.3648374949795
538,67.0,21.0,Suède,#758da3,Non,0.0015592808262493026,564.0662717492204
539,67.0,22.0,Suède,#758da3,Non,0.001578322881129746,570.9546915399595
540,67.0,23.0,Suède,#758da3,Non,0.001578322881129746,570.9546915399595
541,66.0,15.0,Suède,#758da3,Non,0.0021231367147743403,768.0398494973706
542,66.0,16.0,Suède,#758da3,Non,0.0018328441837167592,663.0271904857382
543,66.0,17.0,Suède,#758da3,Non,0.0016369569340051128,592.1654260312632
544,66.0,18.0,Suède,#758da3,Non,0.0016092407103080078,582.13914551488
545,66.0,19.0,Suède,#758da3,Non,0.001807230779791035,653.7616002110584
546,66.0,20.0,Suède,#758da3,Non,0.002044732564047793,739.6773273361979
547,66.0,21.0,Suède,#758da3,Non,0.002281112714521335,825.1873060062061
548,66.0,22.0,Suède,#758da3,Non,0.002392290138230777,865.4054846939506
549,66.0,23.0,Suède,#758da3,Non,0.002392290138230777,865.4054846939506
550,66.0,24.0,Suède,#758da3,Non,0.002281112714521334,825.1873060062057
551,65.0,15.0,Suède,#758da3,Non,0.001807230779791035,653.7616002110584
552,65.0,16.0,Suède,#758da3,Non,0.0016092407103080078,582.13914551488
553,65.0,17.0,Suède,#758da3,Non,0.0015826827590832823,572.5318674156151
554,65.0,18.0,Suède,#758da3,Non,0.0017823777677514064,644.7710799616351
555,65.0,19.0,Suède,#758da3,Non,0.0020748972392013562,750.5893295656645
556,65.0,20.0,Suède,#758da3,Non,0.0026462919993910463,957.290076891924
557,65.0,21.0,Suède,#758da3,Non,0.0040109533509553675,1450.953198902293
559,64.0,13.0,Suède,#758da3,Non,0.002025684963384827,732.7869013713183
560,64.0,14.0,Suède,#758da3,Non,0.0017823777677514064,644.7710799616351
561,64.0,15.0,Suède,#758da3,Non,0.0015826827590832823,572.5318674156151
562,64.0,16.0,Suède,#758da3,Non,0.001758288322205907,636.0567781446618
